Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Cl0x,,SUPPORT,14,7.1%,1.6,0.1,3.9,6,1.6,236,76.9%,11.4,230,02.09,1.38,0.33,0.24,-73,1,203,14.3%,21.4%,0,-
Click,,SUPPORT,79,68.4%,3.5,1,3.3,10.5,1.4,268,71.7%,7.3,201,3.22,1.71,0.36,0.4,163,1,100,26.6%,11.4%,0,2
Colden,,SUPPORT,14,21.4%,3.1,1.1,3.1,8.6,1.3,253,81.4%,8.4,178,2.63,1.33,0.34,0.36,22,1,204,21.4%,21.4%,0,-
CoreJJ,,SUPPORT,78,62.8%,4.8,1,2.3,10.3,1.2,262,71.7%,7.6,200,03.07,1.75,0.56,0.43,37,-7,-180,26.9%,3.8%,0,1
Crisma,,SUPPORT,30,43.3%,3,0.8,3.6,10,1,245,70.6%,6.6,174,03.05,1.62,0.26,0.4,0,0,23,36.7%,3.3%,0,1
Crisp,,SUPPORT,118,50.8%,3,0.7,3.1,8.4,1.3,248,70.9%,7.3,173,3.27,1.79,0.4,0.6,-27,-,-,-,-,-,-
Dahlia,,SUPPORT,26,19.2%,1.8,0.5,4.5,7.3,1.5,246,70.2%,9.5,210,3.3,1.75,0.42,0.41,-424,-6,-311,26.9%,26.9%,0,-
Damage,,SUPPORT,36,30.6%,2.1,0.6,3.9,7.7,1.2,237,71.6%,7.8,170,3.33,1.8,0.42,0.47,-196,-8,-293,36.1%,22.2%,0,2
Dancer,,SUPPORT,28,32.1%,1.8,0.5,5.1,8.7,1,234,67.8%,7.1,173,03.09,1.6,0.31,0.35,-190,1,-149,21.4%,25%,0,-
Daption,,SUPPORT,32,50%,2.7,0.8,3.4,8.4,1.2,253,65.2%,9.5,217,3.34,1.68,0.42,0.45,-157,-6,-331,9.4%,9.4%,0,1
Dardoch,,SUPPORT,22,18.2%,2.2,0.7,3.9,7.6,1.2,249,66.9%,10,225,2.75,1.27,0.37,0.29,-69,-3,200,31.8%,13.6%,0,1
Davus,,SUPPORT,2,100%,3.2,1,3,8.5,0.8,241,48.1%,4.8,117,2.38,0.99,0.2,0.33,304,-6,735,50%,0%,0,-
Dekap,,SUPPORT,82,68.3%,4.7,1.3,2.9,12.3,1.6,273,74.8%,7.6,196,3.12,1.57,0.36,0.41,141,8,179,28%,8.5%,0,2
Delight,,SUPPORT,112,69.6%,4.8,0.8,2.2,10,1.6,265,74.5%,6.9,165,3.42,1.77,0.45,0.45,96,1,222,30.4%,7.1%,0,3
Denyk,,SUPPORT,67,74.6%,5.5,1.1,2,9.9,1.4,269,68.5%,7.7,199,3.17,1.59,0.34,0.41,242,5,348,26.9%,9%,0,1
Dexam,,SUPPORT,16,6.3%,1.3,0.9,4.1,4.6,1.2,227,63.1%,7.8,148,2.42,1.19,0.32,0.4,-432,-4,-376,18.8%,6.3%,0,1
Diamond,,SUPPORT,63,57.1%,3.4,1,3.3,10,1.5,261,66.3%,8.5,225,3.19,1.57,0.41,0.4,87,1,98,22.2%,12.7%,0,2
Dispel,,SUPPORT,14,28.6%,2.2,2.1,4.1,7.1,1,257,70.6%,11.4,251,3.81,02.04,0.44,0.49,142,-3,34,42.9%,21.4%,0,-
Don Ponk,,SUPPORT,5,0%,0.8,0.4,6.8,5,1.1,223,56.6%,6.8,146,2.69,1.33,0.32,0.2,-620,2,-61,40%,0%,0,-
Doss,,SUPPORT,69,47.8%,3.7,0.9,2.8,9.7,1.1,250,74.7%,7.2,170,3.47,1.96,0.39,0.43,-10,0,108,30.4%,8.7%,0,-
Doxa,,SUPPORT,26,42.3%,2.9,1.1,3.7,9.5,2,272,71.8%,9.3,232,2.27,01.06,0.31,0.18,134,11,192,15.4%,19.2%,0,2
DrChaos,,SUPPORT,14,42.9%,2.7,0.9,3.3,8.1,1.3,252,68.6%,8.9,197,03.03,1.46,0.36,0.3,156,5,111,42.9%,14.3%,0,-
Dragku,,SUPPORT,54,55.6%,3.8,1.2,3.5,12.1,1.3,266,74.4%,9,242,03.01,1.55,0.31,0.3,195,4,259,29.6%,0%,0,1
DuaLL,,SUPPORT,40,55%,2.7,0.9,4.1,10.1,1.6,262,75.7%,10.1,259,3.21,1.59,0.4,0.31,43,7,294,17.5%,15%,0,1
Ducks,,SUPPORT,7,28.6%,1.7,0.9,4.1,6.3,1.1,248,75.4%,8.8,179,3,1.68,0.42,0.26,-551,-4,-233,28.6%,14.3%,0,1
Duro,,SUPPORT,100,45%,2.9,0.7,3.3,9,1.4,257,75.1%,7.4,186,3.56,1.86,0.47,0.54,-35,-5,-168,36%,12%,0,1
Eckbard,,SUPPORT,39,33.3%,1.8,0.9,4.8,7.9,1.1,249,62.9%,7.6,190,3.22,1.52,0.4,0.34,-199,-7,-318,28.2%,12.8%,0,2
Edvard,,SUPPORT,16,25%,1.6,0.9,5.9,8.3,0.9,233,57.2%,7.1,195,2.42,1.11,0.25,0.11,-303,5,89,31.3%,6.3%,0,2
Effort,,SUPPORT,92,37%,3,0.4,2.8,7.7,1.3,245,72.1%,7,149,3.99,2.19,0.55,0.64,-197,-6,-318,20.7%,14.1%,0,1
Efias,,SUPPORT,61,62.3%,3.7,0.8,3.1,10.6,1.2,255,76%,6.8,166,3.21,1.62,0.37,0.39,70,1,-59,41%,9.8%,0,1
Egetz,,SUPPORT,11,9.1%,1.2,1.1,6.2,6.3,0.9,239,67.5%,9.8,230,2.22,01.08,0.25,0.1,-516,-12,-79,9.1%,18.2%,0,1
Elio,,SUPPORT,86,69.8%,3.8,1.1,3.3,11.4,1.8,270,69.2%,8.9,243,3.56,1.98,0.51,0.53,174,7,378,26.7%,11.6%,0,3
Endz,,SUPPORT,27,22.2%,1.8,0.9,4.5,7.1,1.5,246,67.9%,10,217,2.44,01.09,0.35,0.25,-109,5,-1,22.2%,22.2%,0,4
Enjawve,,SUPPORT,31,58.1%,2.8,0.9,5.3,14,1.3,265,67.3%,8.8,258,3.23,1.77,0.34,0.56,87,2,8,25.8%,6.5%,0,1
Enso,,SUPPORT,35,31.4%,2.7,0.7,3.4,8.5,1,241,73%,8.1,200,3.4,1.93,0.41,0.56,-230,-12,-331,37.1%,17.1%,0,-
Ephekles,,SUPPORT,40,52.5%,3.8,0.8,3.3,11.6,1,258,69.5%,6.7,181,3.27,1.61,0.35,0.33,-82,-4,-266,42.5%,2.5%,0,1
Erdote,,SUPPORT,67,62.7%,3.9,0.7,2.8,10,1.3,261,71.5%,8.5,228,3.33,1.71,0.38,0.43,90,2,107,26.9%,10.4%,0,-
Evan,,SUPPORT,4,0%,2.4,1,4.3,9,2.5,242,72.2%,10.4,204,2.12,0.95,0.26,0.27,55,29,560,25%,0%,0,1
Execute,,SUPPORT,88,40.9%,2.5,0.6,3.7,8.9,1.2,245,73.7%,7.3,172,3.36,1.96,0.35,0.51,-114,-8,-342,40.9%,17%,0,1
Exiled,,SUPPORT,17,47.1%,2.3,0.8,4.1,8.5,1.5,252,64%,7.8,173,2.62,1.32,0.27,0.29,-54,10,42,17.6%,11.8%,0,-
Eyla,,SUPPORT,60,50%,3.2,0.7,3.2,9.6,1.8,261,72%,7.5,190,3.24,1.62,0.45,0.46,3,11,185,21.7%,10%,0,2
FBI,,SUPPORT,1,100%,1.3,4,6,4,6.3,352,66.7%,10.1,300,01.02,0.57,0.22,0.22,1694,107,2269,0%,0%,0,-
FGG,,SUPPORT,32,21.9%,3.1,0.7,2.6,7.4,1,236,74.7%,8.9,185,3.14,1.63,0.38,0.42,68,-6,-175,34.4%,6.3%,0,2
Farfetch,,SUPPORT,70,54.3%,2.9,0.9,4.5,12,1,250,73%,7.6,189,3.46,1.75,0.38,0.42,-15,-1,-28,31.4%,7.1%,0,2
