Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Faetski,,ADC,33,36.4%,2.6,4.2,3.5,5,9.1,426,72.4%,27.1,678,01.04,0.36,0.29,0.07,19,2,-53,33.3%,6.1%,0,4
FatihCan,,ADC,32,40.6%,3.6,4.4,2.9,6,7.2,402,66.5%,25.2,611,1.3,0.43,0.23,0.09,-126,-6,45,25%,6.3%,0,3
Fede,,ADC,36,55.6%,6,4.5,1.8,6.3,8.8,424,64.8%,27.3,677,1.17,0.43,0.23,0.14,-179,-3,83,22.2%,2.8%,1,7
Feng,,ADC,74,52.7%,3.8,4.4,2.8,6.1,8.2,423,68.2%,26.5,749,1.49,0.62,0.37,0.21,64,2,38,27%,9.5%,0,18
Flakked,,ADC,45,40%,4.6,4.4,2,4.6,9.4,430,73.8%,26.7,560,1.66,0.6,0.45,0.18,-89,-4,-213,28.9%,6.7%,0,3
Flare,,ADC,26,53.8%,5,4.4,2,5.6,8.9,418,56.4%,24.1,648,01.07,0.44,0.25,0.14,-74,2,26,15.4%,3.8%,0,3
FlickeR,,ADC,51,58.8%,7,4.8,1.5,5.5,9.6,456,65.7%,27.1,676,01.01,0.33,0.29,0.03,110,8,160,29.4%,3.9%,1,6
Forlin,,ADC,1,100%,13,5,1,8,9.1,534,92.9%,21,480,1.43,0.61,0.12,0.27,-296,-9,1708,100%,0%,0,-
Frappii,,ADC,11,36.4%,2.7,3.9,3.7,6,9.2,433,60.9%,21.8,602,01.02,0.32,0.3,0.11,-512,-6,-292,18.2%,9.1%,0,1
Freazy,,ADC,1,0%,2,6,5,4,8.4,443,40%,19.9,529,0.88,0.41,0.13,0.06,490,10,1645,100%,0%,0,1
FruityFresh,,ADC,14,50%,4.8,5.2,2.4,6.5,8.8,435,60.8%,29.5,829,0.94,0.36,0.2,0.07,-588,-6,-214,0%,7.1%,0,1
Fynox,,ADC,33,60.6%,5.1,6,2.6,7.6,8.3,444,70.2%,27.1,721,1.4,0.37,0.28,0.09,-272,-5,-75,27.3%,3%,0,1
GALA,,ADC,96,55.2%,5.9,3.9,1.6,5.6,8.6,428,70.3%,29,682,1.18,0.42,0.31,0.11,150,-,-,-,-,-,-
GGiler,,ADC,14,7.1%,2.5,3.8,2.9,3.4,8.7,404,71.1%,25.6,528,0.66,0.25,0.2,0.03,-634,-12,-453,21.4%,7.1%,0,4
GRAVE,,ADC,47,36.2%,3,4.1,3,4.7,8.8,420,67.3%,24.8,553,0.84,0.25,0.25,0.05,-416,-6,-159,27.7%,4.3%,0,3
Gagai,,ADC,4,0%,1.1,3.3,4.5,1.5,9.2,415,40.6%,32.3,837,1.3,0.37,0.27,0.07,-396,-16,-1222,0%,0%,0,4
Gama,,ADC,2,0%,2.1,2,3.5,5.5,7.8,353,60.3%,28.2,683,0.44,0.21,0.14,0,-1328,-24,-472,0%,0%,0,1
Gavotto,,ADC,68,54.4%,3.9,4.1,2.7,6.4,8.7,432,63.5%,25.2,654,1.32,0.44,0.37,0.13,-260,-3,-43,14.7%,4.4%,0,10
GoDJJ,,ADC,17,17.6%,2.1,2.7,3.6,4.9,7.7,369,65.7%,23.6,512,01.07,0.5,0.25,0.12,-1032,-21,-556,17.6%,23.5%,0,1
Goldenpenny,,ADC,3,33.3%,5.4,4.7,1.7,4.3,9.8,441,77.4%,31.2,729,0.95,0.35,0.27,0.07,307,9,57,33.3%,0%,0,-
Gumayusi,,ADC,159,62.9%,4.5,3.6,2.1,5.8,8.5,432,65.8%,25.7,634,1.65,0.64,0.42,0.18,81,-7,-154,20.8%,6.9%,0,6
Guubi,,ADC,14,50%,3,4,3.5,6.4,8.7,422,67.9%,27.2,656,0.94,0.37,0.25,0.08,201,4,276,21.4%,7.1%,0,-
Hans SamD,,ADC,74,59.5%,6.2,5.9,1.9,5.7,10.5,489,69.7%,27.7,752,1.48,0.48,0.4,0.12,464,9,422,23%,5.4%,0,10
