Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Mojito,,JUNGLE,26,34.6%,2.6,2.8,4.3,8.3,5.8,348,71%,16.7,410,01.03,0.28,0.34,0.25,203,4,274,38.5%,0%,0,1
Monki,,JUNGLE,25,36%,2.1,2.4,4.2,6.5,6.1,346,73.3%,17.7,426,-,-,-,-,-,-,-,-,-,-,-
Moyan,,JUNGLE,5,40%,3.2,3.2,3.6,8.4,5.2,337,77.2%,11.3,275,-,-,-,-,-,-,-,-,-,-,-
Mr Jackson,,JUNGLE,5,0%,2.4,3.4,4,6.2,6.4,365,65%,22.2,639,01.04,0.26,0.23,0.19,-166,1,150,0%,40%,0,-
Music,,JUNGLE,39,48.7%,3.5,2.8,3.3,8.6,6.1,358,72.1%,17.1,434,1.3,0.28,0.3,0.18,242,3,21,30.8%,7.7%,0,4
N3znamy,,JUNGLE,14,21.4%,2.3,3.1,4.4,7.2,6.6,364,73%,21.1,530,1.21,0.27,0.27,0.18,116,0,40,28.6%,7.1%,0,3
Naau,,JUNGLE,40,42.5%,3,2.9,3,6.3,5.7,335,76%,16.2,381,1.19,0.23,0.3,0.22,-253,-3,-138,27.5%,7.5%,0,1
Namgung,,JUNGLE,1,0%,0,0,4,0,8,311,0%,17.3,433,0.36,0.31,0,0,-990,-2,-1175,0%,0%,0,-
Narttaker,,JUNGLE,1,0%,1,2,3,1,6.2,339,30%,7.8,178,0.84,0.04,0.24,0.04,-783,-14,-336,0%,0%,0,-
Nasser,,JUNGLE,31,48.4%,3.8,3.1,3.1,8.7,5.3,337,71.4%,13.7,338,1.15,0.19,0.28,0.18,54,-7,-139,51.6%,12.9%,0,4
Nasut,,JUNGLE,21,38.1%,1.9,3.2,5.4,7.2,6.1,361,70.9%,22.3,595,0.75,0.11,0.21,0.06,-262,4,-26,38.1%,14.3%,0,7
NattyNatt,,JUNGLE,30,50%,2.5,3.4,3.7,5.9,7.1,384,62.2%,19.3,473,1.21,0.24,0.29,0.12,356,15,522,46.7%,3.3%,0,11
Nero,,JUNGLE,13,30.8%,3,2.9,3.1,6.2,6.1,343,74.7%,18.8,424,1.5,0.45,0.32,0.23,-105,-3,-280,38.5%,0%,0,2
Nicolo,,JUNGLE,4,25%,1.6,1.5,5.8,7.5,5,292,57.9%,14.3,352,0.99,0.21,0.24,0.21,-519,-12,-760,0%,50%,0,-
Nighthawk,,JUNGLE,14,35.7%,2,2.6,4.8,7.1,6.3,357,76.2%,20.3,462,1.15,0.2,0.33,0.11,-35,2,168,50%,21.4%,0,2
Noodle,,JUNGLE,65,61.5%,5,2.8,2.8,11.1,5.1,341,77.1%,15.4,418,01.08,0.3,0.18,0.17,-81,-11,-218,35.4%,12.3%,0,4
Nxi,,JUNGLE,17,29.4%,2.5,2.3,3.2,5.6,6.1,335,77.5%,17.2,392,1.17,0.32,0.29,0.19,-299,-5,-196,23.5%,11.8%,0,3
Nyx,,JUNGLE,28,39.3%,3.2,2.3,3.4,8.6,5.7,330,75.9%,13.3,352,1.32,0.29,0.29,0.22,45,2,86,39.3%,14.3%,0,3
Oddie,,JUNGLE,70,71.4%,4.6,3.2,2.6,9,5.9,355,72.5%,15.4,450,1.36,0.38,0.27,0.26,127,0,116,42.9%,8.6%,0,6
Oleg,,JUNGLE,6,66.7%,4.1,3.3,3,8.8,6.5,357,59.4%,15.7,448,1.26,0.31,0.31,0.3,234,10,231,66.7%,0%,0,1
OmulFinn,,JUNGLE,6,16.7%,1.3,2.5,4.7,3.3,6.4,339,48.6%,24.3,480,01.01,0.28,0.18,0.12,-974,-12,-721,16.7%,33.3%,0,3
OnFleek,,JUNGLE,57,52.6%,3.9,3.5,3.1,8.9,6.5,374,74%,17.4,465,1.65,0.37,0.42,0.3,280,7,252,42.1%,5.3%,0,11
Oner,,JUNGLE,157,62.4%,3.9,2.6,2.4,6.9,6.4,359,68.7%,15.3,375,1.67,0.41,0.43,0.28,91,7,199,31.2%,11.5%,0,15
