Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ZUIAN,,TOP,15,26.7%,1.3,1.7,4.6,4.5,6.6,335,45.9%,20.8,525,01.08,0.39,0.18,0.2,-509,-,-,-,-,-,-
Zaiiche,,TOP,13,15.4%,1.4,1.1,3.4,3.5,6.6,315,47.7%,19.5,392,0.67,0.36,0.07,0.11,-569,-15,-308,7.7%,0%,0,-
Zamudo,,TOP,64,65.6%,2.4,3.4,3.6,5.5,7.8,396,53%,24.4,673,0.78,0.26,0.16,0.05,268,10,280,7.8%,10.9%,0,36
Zdz,,TOP,89,44.9%,2.1,2.2,3.2,4.6,7.9,378,52%,22.4,521,01.03,0.36,0.21,0.21,-259,-,-,-,-,-,-
ZekaS,,TOP,23,56.5%,3.1,3.5,3,6,7.7,384,62.1%,24.3,578,1,0.38,0.17,0.2,-153,-2,-213,21.7%,8.7%,0,10
Zemnas,,TOP,8,37.5%,2.2,2.1,3.1,4.9,7.9,368,51%,19.5,466,0.8,0.31,0.13,0.14,-1008,-15,-449,12.5%,12.5%,0,2
Zest,,TOP,47,53.2%,3,3.6,2.9,5.1,8.7,434,54.3%,24.7,647,01.06,0.37,0.19,0.1,617,10,257,14.9%,6.4%,0,17
Zeus,,TOP,159,62.9%,2.9,3,2.7,4.7,8.3,409,55.7%,22.3,548,01.09,0.38,0.19,0.17,342,8,66,11.9%,11.3%,1,46
Zhergoth,,TOP,1,0%,0.4,0,8,3,5.7,275,37.5%,27.5,539,0.73,0.33,0.07,0.04,-3241,-25,-1985,0%,100%,0,-
Zika,,TOP,97,54.6%,3.4,2.8,2.2,4.9,8.3,393,57.6%,21.3,496,01.01,0.33,0.21,0.15,12,-,-,-,-,-,-
Zorac,,TOP,47,53.2%,3.7,3.9,2.3,4.6,8.5,429,49.6%,21.1,544,0.91,0.34,0.15,0.07,305,5,100,27.7%,8.5%,0,24
Zothve,,TOP,74,66.2%,3.2,3.2,2.8,5.7,8,399,51.1%,20,515,0.92,0.35,0.13,0.19,39,3,21,12.2%,16.2%,0,33
Zzk,,TOP,35,51.4%,2.2,1.9,2.9,4.4,7.6,367,45.4%,17.4,469,1.11,0.42,0.19,0.18,-188,-3,1,22.9%,8.6%,0,6
afonso,,TOP,2,0%,0.6,3,8,1.5,6.4,341,54.2%,20.6,457,0.53,0.35,0.1,0,-2000,-32,-1614,0%,50%,0,-
allorim,,TOP,22,18.2%,2.1,1.3,2.8,4.6,7.7,346,45.1%,18.6,414,0.85,0.36,0.13,0.1,-339,-8,-1,18.2%,0%,0,8
arkin,,TOP,9,0%,0.6,1.4,5.6,1.7,6.9,328,31.9%,22.3,431,0.82,0.35,0.15,0.07,-1491,-24,-876,11.1%,22.2%,0,5
arnax,,TOP,14,7.1%,0.8,1.2,3.7,1.7,7.3,331,34.6%,21.7,444,0.83,0.41,0.08,0.09,-691,-10,-429,14.3%,14.3%,0,3
atomicnoxus,,TOP,18,5.6%,1.5,1.8,3.8,3.9,7.1,340,43.7%,22.5,528,0.88,0.43,0.13,0.17,-1019,-13,-230,11.1%,16.7%,0,6
ayel,,TOP,26,53.8%,2.9,3,3.3,6.6,8.1,403,59.6%,22.7,609,1.12,0.44,0.18,0.17,33,-2,187,23.1%,7.7%,0,16
bage,,TOP,1,0%,0.2,0,5,1,5.5,252,25%,30.9,548,-,-,-,-,-,-,-,-,-,-,-
