Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Dro,,MID,7,0%,1.2,2.4,4,2.3,8.7,388,72.5%,24.8,505,0.94,0.38,0.15,0.13,-709,-10,-594,14.3%,0%,0,2
Dusty,,MID,14,28.6%,1.8,1.6,3.6,4.8,8.5,376,46.3%,25.8,527,0.82,0.29,0.18,0.03,-545,-5,-352,7.1%,14.3%,0,1
Eika,,MID,44,54.5%,4.5,4.6,2.5,6.6,8.7,422,71.8%,28.7,674,1.25,0.51,0.22,0.19,-80,-4,-59,25%,6.8%,0,14
Emo,,MID,60,66.7%,4.9,4.8,2.3,6.6,9,436,62.3%,22.4,631,1.23,0.44,0.26,0.19,-267,-9,-236,13.3%,3.3%,0,12
Envy,,MID,44,29.5%,3.5,3.6,2.5,5.4,8.9,412,72%,29.4,602,1.24,0.5,0.25,0.21,225,0,74,20.5%,4.5%,0,11
Envy Carry,,MID,49,49%,3.2,4.3,3.3,6.5,8.2,412,61.9%,23.6,621,0.96,0.38,0.18,0.13,-554,-11,-290,12.2%,18.4%,0,14
Erol,,MID,16,43.8%,4.5,4,2.1,5.3,8.6,410,63.6%,26.1,632,0.69,0.29,0.13,0.09,-372,-12,-306,12.5%,12.5%,0,3
Escik,,MID,51,56.9%,3.9,3.7,2.4,5.9,9,427,64.4%,25.9,684,1.16,0.4,0.23,0.14,101,1,71,21.6%,3.9%,0,17
Ethe,,MID,1,0%,2.3,4,4,5,8.1,378,56.2%,10.8,276,0.73,0.28,0.18,0.13,438,-5,507,100%,0%,0,-
Eugeo,,MID,42,35.7%,3,3.3,2.6,4.5,8.8,406,64.2%,26.9,638,01.09,0.51,0.19,0.25,-561,-9,-244,14.3%,4.8%,0,7
Evaan,,MID,28,35.7%,3.2,4.3,3.2,6,8.8,434,68.1%,28.3,709,01.05,0.42,0.21,0.12,-71,-2,98,25%,21.4%,0,16
FATE,,MID,19,21.1%,2.9,2.3,2.3,4.2,9,402,62.9%,28.4,627,1.18,0.42,0.27,0.17,-51,-5,-89,31.6%,0%,1,2
FENZ1,,MID,16,18.8%,1.7,2.8,3.6,3.3,8.5,382,72.3%,26.9,534,0.91,0.3,0.21,0.08,-305,-1,-208,6.3%,25%,0,3
FIERCE,,MID,53,54.7%,4.2,4.5,2.2,5,9.5,455,60.9%,27.9,741,0.73,0.29,0.15,0.05,45,2,74,18.9%,7.5%,0,28
FIESTA,,MID,57,56.1%,3.2,3.8,3.2,6.5,8.8,431,67.1%,30,777,1.29,0.48,0.26,0.22,279,9,95,26.3%,15.8%,0,33
Fade,,MID,47,46.8%,2.7,3.2,2.9,4.8,9,415,56.2%,24,545,0.93,0.36,0.17,0.12,-298,-3,-128,19.1%,2.1%,0,9
Faded,,MID,26,19.2%,2.5,4.6,4.2,5.8,8,411,72.9%,33.2,828,0.97,0.39,0.15,0.07,-320,-7,-183,15.4%,26.9%,0,8
Faker,,MID,159,62.9%,3.8,3.4,2.3,5.4,9.2,428,62.6%,26.1,637,1.23,0.45,0.27,0.14,36,1,10,17.6%,5.7%,0,30
Febiven,,MID,36,27.8%,3,3.3,2.9,5.4,9.1,423,70%,28,632,01.08,0.45,0.21,0.12,-242,-4,-261,11.1%,11.1%,0,5
Feisty,,MID,57,50.9%,4.6,3.8,2.3,6.9,9,427,73.1%,28.4,679,1.19,0.43,0.29,0.26,315,8,188,15.8%,14%,1,9
FireAscept,,MID,44,50%,3.8,4,2.7,6.3,8.7,422,59.7%,25.4,611,1.27,0.42,0.24,0.16,56,1,95,18.2%,6.8%,0,30
Fisher,,MID,69,30.4%,2.6,3,3,4.7,8.9,403,68.4%,28.9,647,1.1,0.45,0.24,0.21,-29,-1,-60,8.7%,8.7%,0,4
Flarke,,MID,2,50%,3.3,2.5,2,4,8.5,421,63.3%,22.9,478,01.07,0.21,0.32,0.13,-410,-8,-317,0%,50%,0,-
FoFo,,MID,79,46.8%,3.7,2.9,2,4.6,9.1,416,67.5%,30.9,738,1.35,0.49,0.34,0.15,-59,-,-,-,-,-,-
Fooneses,,MID,18,11.1%,2.1,3.9,3.9,4.3,8.6,414,66.8%,31.6,757,1.11,0.44,0.23,0.12,-201,-7,-316,38.9%,11.1%,0,5
Foxie,,MID,23,56.5%,4.1,3.8,2.8,7.9,8.2,395,63.5%,25.1,616,0.82,0.27,0.2,0.08,135,7,273,17.4%,8.7%,0,5
Freazy,,MID,23,34.8%,2.3,4.4,3.5,3.7,8.1,400,58.2%,26.6,593,1.14,0.46,0.21,0.18,-322,-7,-253,26.1%,26.1%,0,12
FreshKiller,,MID,7,85.7%,3.9,4.1,3.1,8,8.1,409,62.3%,23.5,635,0.89,0.26,0.21,0.07,-24,-6,66,0%,14.3%,0,3
Fresskowy,,MID,77,45.5%,3.6,3.3,2.3,4.9,8.9,410,56.7%,23,537,1.15,0.43,0.21,0.19,-44,0,25,18.2%,14.3%,0,21
Froggy,,MID,25,40%,3.8,3.5,2.7,6.8,8.1,395,70.5%,26.3,659,1.47,0.46,0.4,0.24,-335,-8,-256,16%,12%,0,2
Frostsize,,MID,48,56.3%,3.7,3.9,2.9,6.6,8.7,415,63.8%,26.4,639,01.02,0.36,0.21,0.12,-13,0,-52,14.6%,14.6%,0,15
Furby,,MID,14,28.6%,2.9,2.3,2.4,4.8,8.3,381,55.6%,24.4,578,1.1,0.43,0.18,0.13,-302,-9,-221,7.1%,14.3%,0,3
Furuy,,MID,28,64.3%,5.3,4.6,2.3,7.8,9,439,65.9%,27.1,721,01.06,0.45,0.15,0.19,184,7,232,17.9%,14.3%,0,6
Fuuu,,MID,45,40%,3.7,3.1,2.1,4.5,9,412,66.6%,29,643,1.14,0.45,0.23,0.21,-66,2,74,11.1%,13.3%,0,7
Galaxy,,MID,29,37.9%,2.2,2.7,3.4,4.7,8.5,403,61.4%,26.2,605,1.18,0.46,0.18,0.14,-143,-2,-217,10.3%,17.2%,0,5
Giyuu,,MID,82,68.3%,5.6,5.3,2.3,7.4,9.5,461,68.9%,29.1,752,1.4,0.54,0.26,0.19,476,7,388,22%,7.3%,0,26
Gloryy,,MID,28,60.7%,3.9,3.9,2.6,6,9.2,432,59.6%,25,580,1.55,0.53,0.39,0.27,23,7,141,10.7%,14.3%,0,6
Gori,,MID,69,62.3%,4,4.3,2.4,5.1,9.3,447,67.7%,30.2,785,1.14,0.4,0.3,0.15,146,6,98,17.4%,17.4%,1,24
Grevthar,,MID,64,60.9%,5.5,2.9,2,7.8,7.9,378,66.8%,22.9,547,1.32,0.51,0.24,0.23,-333,-12,-289,20.3%,4.7%,0,3
Griffon,,MID,14,14.3%,1.6,3.2,4.8,4.4,8.3,385,56%,26.9,708,1.15,0.44,0.19,0.16,-160,2,-80,14.3%,7.1%,0,4
Guapi,,MID,6,33.3%,1.7,2.5,4.5,5.2,7.4,358,43.4%,21,503,0.58,0.15,0.11,0.04,-1809,-20,-921,16.7%,33.3%,0,3
H0NEST,,MID,12,33.3%,2.8,4.1,3.1,4.7,8.5,416,56.2%,26.3,588,01.01,0.35,0.22,0.12,-300,0,7,25%,0%,0,9
Haeri,,MID,60,65%,5.2,4.4,2.2,6.9,9.4,455,65.8%,28,758,1.13,0.44,0.24,0.17,351,15,565,25%,6.7%,0,28
Haichao,,MID,86,41.9%,4.4,3.4,1.9,5,9.3,431,65.9%,25.7,624,1.31,0.46,0.36,0.15,-74,-,-,-,-,-,-
Harbo,,MID,12,33.3%,2.8,3.6,3.1,5.2,8.2,399,57.3%,23.3,586,0.89,0.34,0.19,0.06,-130,-1,-9,8.3%,0%,0,5
Harunabi,,MID,4,50%,1.8,1.5,3,3.8,6.8,329,32.6%,19.3,427,0.89,0.36,0.09,0.18,-1002,-19,-679,25%,25%,0,-
Hauz,,MID,44,45.5%,4,3.5,2.4,6,8.8,413,75.5%,32.6,750,1.1,0.43,0.23,0.17,138,1,29,27.3%,9.1%,0,6
HawHaw,,MID,39,51.3%,4.1,5,2.5,5.4,9.2,447,64%,30.7,838,01.07,0.4,0.19,0.1,171,4,158,28.2%,12.8%,0,16
Hax,,MID,1,0%,2,3,2,1,9.5,393,50%,23.3,487,1.12,0.46,0.04,0.14,-507,-3,-289,0%,0%,0,-
Hebihime,,MID,1,0%,3,0,2,6,6.8,281,75%,24.6,460,1.28,0.44,0.37,0.2,-951,-15,580,0%,0%,0,-
